"date","geoRegion","vaccine","entries","type_variant","pop","sumTotal","per100Persons","per100Persons_mean7d","per100PersonsTotal","mean7d","type","version","granularity"
2021-02-14,"CHFL","moderna",NA,"vaccine_type",8644780,218077,NA,NA,2.52,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-02-15,"CHFL","moderna",NA,"vaccine_type",8644780,226990,NA,NA,2.63,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-02-16,"CHFL","moderna",NA,"vaccine_type",8644780,238799,NA,NA,2.76,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-02-17,"CHFL","moderna",NA,"vaccine_type",8644780,253693,NA,NA,2.93,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-02-18,"CHFL","moderna",NA,"vaccine_type",8644780,266494,NA,NA,3.08,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-02-19,"CHFL","moderna",NA,"vaccine_type",8644780,277049,NA,NA,3.2,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-02-20,"CHFL","moderna",NA,"vaccine_type",8644780,281118,NA,NA,3.25,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-02-21,"CHFL","moderna",NA,"vaccine_type",8644780,283835,NA,NA,3.28,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-02-22,"CHFL","moderna",NA,"vaccine_type",8644780,293746,NA,NA,3.4,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-02-23,"CHFL","moderna",NA,"vaccine_type",8644780,307063,NA,NA,3.55,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-02-24,"CHFL","moderna",NA,"vaccine_type",8644780,325416,NA,NA,3.76,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-02-25,"CHFL","moderna",NA,"vaccine_type",8644780,340182,NA,NA,3.94,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-02-26,"CHFL","moderna",NA,"vaccine_type",8644780,353457,NA,NA,4.09,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-02-27,"CHFL","moderna",NA,"vaccine_type",8644780,356941,NA,NA,4.13,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-02-28,"CHFL","moderna",NA,"vaccine_type",8644780,360340,NA,NA,4.17,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-03-01,"CHFL","moderna",NA,"vaccine_type",8644780,372347,NA,NA,4.31,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-03-02,"CHFL","moderna",NA,"vaccine_type",8644780,384872,NA,NA,4.45,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-03-03,"CHFL","moderna",NA,"vaccine_type",8644780,403371,NA,NA,4.67,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-03-04,"CHFL","moderna",NA,"vaccine_type",8644780,417842,NA,NA,4.83,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-03-05,"CHFL","moderna",NA,"vaccine_type",8644780,429723,NA,NA,4.97,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-03-06,"CHFL","moderna",NA,"vaccine_type",8644780,432084,NA,NA,5,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-03-07,"CHFL","moderna",NA,"vaccine_type",8644780,437426,NA,NA,5.06,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-03-08,"CHFL","moderna",NA,"vaccine_type",8644780,446751,NA,NA,5.17,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-03-09,"CHFL","moderna",NA,"vaccine_type",8644780,458798,NA,NA,5.31,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-03-10,"CHFL","moderna",NA,"vaccine_type",8644780,481035,NA,NA,5.56,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-03-11,"CHFL","moderna",NA,"vaccine_type",8644780,493497,NA,NA,5.71,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-03-12,"CHFL","moderna",NA,"vaccine_type",8644780,504208,NA,NA,5.83,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
2021-03-13,"CHFL","moderna",NA,"vaccine_type",8644780,507108,NA,NA,5.87,NA,"COVID19VaccDosesAdministered","2021-05-19_23-59-00","summary"
