"altersklasse_covid19","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","entries_diff_abs","entries_diff_inz","entries_diff_pct","prct_diff","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_phase3","timeframe_28d","timeframe_14d"
"0 - 9","CH",202009,2,2,0.036,3.6,873043,0.23,0.23,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-09",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202009,1,1,0.018,1.8,844155,0.12,0.12,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-09",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202009,15,15,0.268,26.8,1045350,1.43,1.43,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-09",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"30 - 39","CH",202009,15,15,0.268,26.8,1229176,1.22,1.22,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-09",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","CH",202009,7,7,0.125,12.5,1198325,0.58,0.58,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-09",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","CH",202009,8,8,0.143,14.3,1292837,0.62,0.62,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-09",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","CH",202009,4,4,0.071,7.1,947959,0.42,0.42,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-09",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","CH",202009,3,3,0.054,5.4,721518,0.42,0.42,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-09",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","CH",202009,1,1,0.018,1.8,453670,0.22,0.22,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-09",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","CH",202009,0,0,0,0,NA,NA,NA,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-09",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202010,4,6,0.011,1.1,873043,0.46,0.69,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-10",2,0.23,100,-2.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202010,9,10,0.024,2.4,844155,1.07,1.18,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-10",8,0.95,800,0.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202010,42,57,0.112,11.2,1045350,4.02,5.45,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-10",27,2.59,180,-15.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"30 - 39","CH",202010,59,74,0.157,15.7,1229176,4.8,6.02,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-10",44,3.58,293.3,-11.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","CH",202010,75,82,0.199,19.9,1198325,6.26,6.84,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-10",68,5.68,971.4,7.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","CH",202010,84,92,0.223,22.3,1292837,6.5,7.12,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-10",76,5.88,950,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","CH",202010,47,51,0.125,12.5,947959,4.96,5.38,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-10",43,4.54,1075,5.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","CH",202010,32,35,0.085,8.5,721518,4.44,4.85,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-10",29,4.02,966.7,3.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","CH",202010,24,25,0.064,6.4,453670,5.29,5.51,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-10",23,5.07,2300,4.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","CH",202010,0,0,0,0,NA,NA,NA,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-10",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202011,13,19,0.006,0.6,873043,1.49,2.18,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-11",9,1.03,225,-0.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202011,45,55,0.02,2,844155,5.33,6.52,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-11",36,4.26,400,-0.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202011,266,323,0.118,11.8,1045350,25.45,30.9,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-11",224,21.43,533.3,0.599999999999998,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"30 - 39","CH",202011,356,430,0.157,15.7,1229176,28.96,34.98,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-11",297,24.16,503.4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","CH",202011,389,471,0.172,17.2,1198325,32.46,39.3,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-11",314,26.2,418.7,-2.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"50 - 59","CH",202011,457,549,0.202,20.2,1292837,35.35,42.46,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-11",373,28.85,444,-2.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60 - 69","CH",202011,280,331,0.124,12.4,947959,29.54,34.92,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-11",233,24.58,495.7,-0.0999999999999996,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"70 - 79","CH",202011,258,293,0.114,11.4,721518,35.76,40.61,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-11",226,31.32,706.2,2.9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80+","CH",202011,196,221,0.087,8.7,453670,43.2,48.71,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-11",172,37.91,716.7,2.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Unbekannt","CH",202011,3,3,0.001,0.1,NA,NA,NA,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-11",3,NA,NA,0.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202012,26,45,0.004,0.4,873043,2.98,5.15,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-12",13,1.49,100,-0.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202012,195,250,0.03,3,844155,23.1,29.62,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-12",150,17.77,333.3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202012,749,1072,0.114,11.4,1045350,71.65,102.55,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-12",483,46.2,181.6,-0.399999999999999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"30 - 39","CH",202012,920,1350,0.14,14,1229176,74.85,109.83,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-12",564,45.89,158.4,-1.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"40 - 49","CH",202012,1041,1512,0.159,15.9,1198325,86.87,126.18,"COVID19Cases","altersklasse_covid19","2021-05-04_07-46-50","isoweek","2020-12",652,54.41,167.6,-1.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
