"sex","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","entries_diff_abs","entries_diff_inz","entries_diff_pct","prct_diff","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_phase3","timeframe_28d","timeframe_14d"
"male","CH",202009,39,39,0.696,69.6,4268863,0.91,0.91,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-09",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"female","CH",202009,17,17,0.304,30.4,4337170,0.39,0.39,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-09",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202009,0,0,0,0,NA,NA,NA,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-09",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"male","CH",202010,187,226,0.497,49.7,4268863,4.38,5.29,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-10",148,3.47,379.5,-19.9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"female","CH",202010,189,206,0.503,50.3,4337170,4.36,4.75,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-10",172,3.97,1011.8,19.9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202010,0,0,0,0,NA,NA,NA,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-10",0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"male","CH",202011,1117,1343,0.494,49.4,4268863,26.17,31.46,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-11",930,21.79,497.3,-0.300000000000004,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"female","CH",202011,1144,1350,0.506,50.6,4337170,26.38,31.13,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-11",955,22.02,505.3,0.300000000000004,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"unknown","CH",202011,2,2,0.001,0.1,NA,NA,NA,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-11",2,NA,NA,0.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"male","CH",202012,3176,4519,0.484,48.4,4268863,74.4,105.86,"COVID19Cases","sex","2021-05-20_07-49-25","isoweek","2020-12",2059,48.23,184.3,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
