geoRegion,datum,entries,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
CH,202009,56,56,1,100,8606033,0.65,0.65,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202010,376,432,1,100,8606033,4.37,5.02,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-10,320,3.72,571.4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202011,2266,2698,1,100,8606033,26.33,31.35,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-11,1890,21.96,502.7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202012,6559,9257,1,100,8606033,76.21,107.56,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-12,4293,49.88,189.5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202013,7345,16602,1,100,8606033,85.35,192.91,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-13,786,9.14,12,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202014,6025,22627,1,100,8606033,70.01,262.92,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-14,-1320,-15.34,-18,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202015,3599,26226,1,100,8606033,41.82,304.74,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-15,-2426,-28.19,-40.3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202016,1840,28066,1,100,8606033,21.38,326.12,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-16,-1759,-20.44,-48.9,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202017,1167,29233,1,100,8606033,13.56,339.68,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-17,-673,-7.82,-36.6,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202018,700,29933,1,100,8606033,8.13,347.81,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-18,-467,-5.43,-40,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202019,401,30334,1,100,8606033,4.66,352.47,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-19,-299,-3.47,-42.7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202020,231,30565,1,100,8606033,2.68,355.16,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-20,-170,-1.98,-42.4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202021,154,30719,1,100,8606033,1.79,356.95,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-21,-77,-0.89,-33.3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202022,126,30845,1,100,8606033,1.46,358.41,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-22,-28,-0.33,-18.2,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202023,99,30944,1,100,8606033,1.15,359.56,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-23,-27,-0.31,-21.4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202024,140,31084,1,100,8606033,1.63,361.19,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-24,41,0.48,41.4,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202025,171,31255,1,100,8606033,1.99,363.18,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-25,31,0.36,22.1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202026,357,31612,1,100,8606033,4.15,367.32,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-26,186,2.16,108.8,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202027,684,32296,1,100,8606033,7.95,375.27,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-27,327,3.8,91.6,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202028,635,32931,1,100,8606033,7.38,382.65,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-28,-49,-0.57,-7.2,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202029,715,33646,1,100,8606033,8.31,390.96,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-29,80,0.93,12.6,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202030,826,34472,1,100,8606033,9.6,400.56,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-30,111,1.29,15.5,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202031,1155,35627,1,100,8606033,13.42,413.98,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-31,329,3.82,39.8,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202032,1100,36727,1,100,8606033,12.78,426.76,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-32,-55,-0.64,-4.8,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202033,1574,38301,1,100,8606033,18.29,445.05,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-33,474,5.51,43.1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202034,1855,40156,1,100,8606033,21.55,466.6,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-34,281,3.26,17.9,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202035,2092,42248,1,100,8606033,24.31,490.91,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-35,237,2.76,12.8,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202036,2456,44704,1,100,8606033,28.54,519.45,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-36,364,4.23,17.4,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202037,2860,47564,1,100,8606033,33.23,552.68,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-37,404,4.69,16.4,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202038,2905,50469,1,100,8606033,33.76,586.44,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-38,45,0.53,1.6,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202039,2220,52689,1,100,8606033,25.8,612.23,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-39,-685,-7.96,-23.6,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202040,3462,56151,1,100,8606033,40.23,652.46,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-40,1242,14.43,55.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CH,202041,8751,64902,1,100,8606033,101.68,754.15,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-41,5289,61.45,152.8,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CH,202042,19481,84383,1,100,8606033,226.36,980.51,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-42,10730,124.68,122.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CH,202043,39668,124051,1,100,8606033,460.93,1441.44,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-43,20187,234.57,103.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CH,202044,55826,179877,1,100,8606033,648.68,2090.13,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-44,16158,187.75,40.7,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CH,202045,51188,231065,1,100,8606033,594.79,2684.92,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-45,-4638,-53.89,-8.3,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CH,202046,39584,270649,1,100,8606033,459.96,3144.88,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-46,-11604,-134.83,-22.7,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CH,202047,30114,300763,1,100,8606033,349.92,3494.79,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-47,-9470,-110.04,-23.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CH,202048,26195,326958,1,100,8606033,304.38,3799.17,COVID19Cases,,2021-07-09_07-48-17,isoweek,2020-48,-3919,-45.54,-13,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
