date,geoRegion,entries,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2020-12-22,AG,0,685845,0,0,NA,0,NA,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2020-12-23,AG,0,685845,0,0,NA,0,NA,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2020-12-24,AG,0,685845,0,0,NA,0,NA,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2020-12-25,AG,0,685845,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2020-12-26,AG,0,685845,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2020-12-27,AG,0,685845,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2020-12-28,AG,0,685845,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2020-12-29,AG,0,685845,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2020-12-30,AG,0,685845,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2020-12-31,AG,0,685845,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-01,AG,0,685845,0,0,0,0,0,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-02,AG,0,685845,0,0,0,0,0.14,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-03,AG,0,685845,0,0,0,0,0.14,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-04,AG,0,685845,0,0,0,0,0.29,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-05,AG,1,685845,1,0,0,0,0.29,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-06,AG,0,685845,1,0,0,0,0.57,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-07,AG,1,685845,2,0,0,0,0.57,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-08,AG,0,685845,2,0,0,0,0.57,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-09,AG,2,685845,4,0,0,0,0.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-10,AG,0,685845,4,0,0,0,0.86,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-11,AG,0,685845,4,0,0,0,0.71,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-12,AG,0,685845,4,0,0,0,0.71,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-13,AG,3,685845,7,0,0,0,0.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-14,AG,0,685845,7,0,0,0,0.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-15,AG,0,685845,7,0,0,0,0.57,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-16,AG,0,685845,7,0,0,0,1,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-17,AG,0,685845,7,0,0,0,1,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-18,AG,1,685845,8,0,0,0,12,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-19,AG,3,685845,11,0,0,0,20.71,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-20,AG,3,685845,14,0,0,0,20.71,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-21,AG,77,685845,91,0.01,0,0.01,20.71,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-22,AG,61,685845,152,0.01,0,0.02,22.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-23,AG,0,685845,152,0,0,0.02,26.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-24,AG,0,685845,152,0,0.01,0.02,49.29,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-25,AG,13,685845,165,0,0.01,0.02,73.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-26,AG,31,685845,196,0,0.02,0.03,115.14,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-27,AG,163,685845,359,0.02,0.02,0.05,137.29,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-28,AG,246,685845,605,0.04,0.02,0.09,137.29,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-29,AG,353,685845,958,0.05,0.02,0.14,167.14,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-30,AG,155,685845,1113,0.02,0.04,0.16,251.29,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-01-31,AG,0,685845,1113,0,0.04,0.16,291.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-01,AG,222,685845,1335,0.03,0.05,0.19,361.14,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-02,AG,620,685845,1955,0.09,0.05,0.29,376,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-03,AG,444,685845,2399,0.06,0.05,0.35,371.71,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-04,AG,734,685845,3133,0.11,0.05,0.46,371.71,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-05,AG,457,685845,3590,0.07,0.06,0.52,410.57,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-06,AG,125,685845,3715,0.02,0.06,0.54,381.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-07,AG,0,685845,3715,0,0.06,0.54,375.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-08,AG,494,685845,4209,0.07,0.05,0.61,334.86,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-09,AG,416,685845,4625,0.06,0.05,0.67,341.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-10,AG,402,685845,5027,0.06,0.05,0.73,347.14,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-11,AG,450,685845,5477,0.07,0.05,0.8,347.14,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-12,AG,503,685845,5980,0.07,0.05,0.87,362,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-13,AG,165,685845,6145,0.02,0.06,0.9,391.86,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-14,AG,0,685845,6145,0,0.08,0.9,521.86,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-15,AG,598,685845,6743,0.09,0.1,0.98,666,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-16,AG,625,685845,7368,0.09,0.11,1.07,742.14,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-17,AG,1312,685845,8680,0.19,0.11,1.27,743.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-18,AG,1459,685845,10139,0.21,0.11,1.48,743.71,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-19,AG,1036,685845,11175,0.15,0.12,1.63,839.86,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-20,AG,174,685845,11349,0.03,0.14,1.65,974,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-21,AG,2,685845,11351,0,0.14,1.66,940.29,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-22,AG,1271,685845,12622,0.19,0.14,1.84,927.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-23,AG,1564,685845,14186,0.23,0.14,2.07,941.71,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-24,AG,1076,685845,15262,0.16,0.14,2.23,917.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-25,AG,1369,685845,16631,0.2,0.14,2.42,917.29,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-26,AG,1136,685845,17767,0.17,0.12,2.59,825.14,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-27,AG,4,685845,17771,0,0.12,2.59,783,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-02-28,AG,1,685845,17772,0,0.13,2.59,850.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-01,AG,626,685845,18398,0.09,0.12,2.68,822.57,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-02,AG,1269,685845,19667,0.19,0.12,2.87,838.71,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-03,AG,1548,685845,21215,0.23,0.12,3.09,843.14,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-04,AG,1174,685845,22389,0.17,0.12,3.26,843,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-05,AG,1249,685845,23638,0.18,0.13,3.45,852.57,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-06,AG,35,685845,23673,0.01,0.12,3.45,823.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-07,AG,0,685845,23673,0,0.11,3.45,778.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-08,AG,693,685845,24366,0.1,0.11,3.55,764.71,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-09,AG,1065,685845,25431,0.16,0.11,3.71,729.29,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-10,AG,1233,685845,26664,0.18,0.11,3.89,726.14,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-11,AG,1078,685845,27742,0.16,0.11,4.04,726.14,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-12,AG,1001,685845,28743,0.15,0.11,4.19,775.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-13,AG,13,685845,28756,0,0.11,4.19,759.29,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-14,AG,0,685845,28756,0,0.11,4.19,717.14,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-15,AG,1038,685845,29794,0.15,0.1,4.34,678.86,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-16,AG,952,685845,30746,0.14,0.1,4.48,672.86,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-17,AG,938,685845,31684,0.14,0.12,4.62,786.57,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-18,AG,810,685845,32494,0.12,0.12,4.74,786.57,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-19,AG,959,685845,33453,0.14,0.12,4.88,822.14,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-20,AG,809,685845,34262,0.12,0.13,5,865,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-21,AG,0,685845,34262,0,0.14,5,961.86,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-22,AG,1287,685845,35549,0.19,0.16,5.18,1105.57,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-23,AG,1252,685845,36801,0.18,0.18,5.37,1219.29,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-24,AG,1616,685845,38417,0.24,0.18,5.6,1234.86,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-25,AG,1816,685845,40233,0.26,0.18,5.87,1234.86,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-26,AG,1755,685845,41988,0.26,0.18,6.12,1258.29,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-27,AG,918,685845,42906,0.13,0.18,6.26,1268.57,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-28,AG,0,685845,42906,0,0.18,6.26,1241.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-29,AG,1451,685845,44357,0.21,0.17,6.47,1184.57,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-30,AG,1324,685845,45681,0.19,0.14,6.66,989.14,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-03-31,AG,1426,685845,47107,0.21,0.13,6.87,899.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-04-01,AG,1418,685845,48525,0.21,0.13,7.08,899.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-04-02,AG,387,685845,48912,0.06,0.11,7.13,759.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-04-03,AG,290,685845,49202,0.04,0.13,7.17,899.14,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-04-04,AG,0,685845,49202,0,0.15,7.17,1011.29,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-04-05,AG,471,685845,49673,0.07,0.15,7.24,1046.43,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-04-06,AG,2302,685845,51975,0.34,0.18,7.58,1221.57,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-04-07,AG,2211,685845,54186,0.32,0.18,7.9,1226.29,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
2021-04-08,AG,1664,685845,55850,0.24,0.18,8.14,1226.71,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed
