date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202052,AG,male,0,sex,344733,0,0,0,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed,NA,NA
202053,AG,male,0,sex,344733,0,0,0,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed,NA,NA
202101,AG,male,2,sex,344733,2,0,0,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed,0.5,50
202102,AG,male,3,sex,344733,5,0,0,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed,1,100
202103,AG,male,44,sex,344733,49,0.01,0.01,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed,0.303,30.3
202104,AG,male,411,sex,344733,460,0.12,0.13,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed,0.428,42.8
202105,AG,male,1136,sex,344733,1596,0.33,0.46,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed,0.437,43.7
202106,AG,male,1164,sex,344733,2760,0.34,0.8,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed,0.479,47.9
202107,AG,male,2447,sex,344733,5207,0.71,1.51,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed,0.47,47
202108,AG,male,2581,sex,344733,7788,0.75,2.26,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed,0.402,40.2
202109,AG,male,2361,sex,344733,10149,0.68,2.94,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed,0.4,40
202110,AG,male,2059,sex,344733,12208,0.6,3.54,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed,0.405,40.5
202111,AG,male,2421,sex,344733,14629,0.7,4.24,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed,0.44,44
202112,AG,male,4027,sex,344733,18656,1.17,5.41,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed,0.466,46.6
202113,AG,male,2995,sex,344733,21651,0.87,6.28,COVID19FullyVaccPersons,2021-06-08_09-40-01,detailed,0.476,47.599999999999994
