date,geoRegion,vaccine,entries,type_variant,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2021-02-14,CHFL,moderna,NA,vaccine_type,8644780,4700,NA,NA,0.05,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-02-15,CHFL,moderna,NA,vaccine_type,8644780,5969,NA,NA,0.07,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-02-16,CHFL,moderna,NA,vaccine_type,8644780,9591,NA,NA,0.11,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-02-17,CHFL,moderna,NA,vaccine_type,8644780,17515,NA,NA,0.2,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-02-18,CHFL,moderna,NA,vaccine_type,8644780,23415,NA,NA,0.27,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-02-19,CHFL,moderna,NA,vaccine_type,8644780,29415,NA,NA,0.34,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-02-20,CHFL,moderna,NA,vaccine_type,8644780,32696,NA,NA,0.38,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-02-21,CHFL,moderna,NA,vaccine_type,8644780,34278,NA,NA,0.4,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-02-22,CHFL,moderna,NA,vaccine_type,8644780,41268,NA,NA,0.48,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-02-23,CHFL,moderna,NA,vaccine_type,8644780,51447,NA,NA,0.6,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-02-24,CHFL,moderna,NA,vaccine_type,8644780,65466,NA,NA,0.76,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-02-25,CHFL,moderna,NA,vaccine_type,8644780,78053,NA,NA,0.9,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-02-26,CHFL,moderna,NA,vaccine_type,8644780,89704,NA,NA,1.04,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-02-27,CHFL,moderna,NA,vaccine_type,8644780,93242,NA,NA,1.08,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-02-28,CHFL,moderna,NA,vaccine_type,8644780,94581,NA,NA,1.09,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-01,CHFL,moderna,NA,vaccine_type,8644780,103329,NA,NA,1.2,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-02,CHFL,moderna,NA,vaccine_type,8644780,113439,NA,NA,1.31,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-03,CHFL,moderna,NA,vaccine_type,8644780,125059,NA,NA,1.45,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-04,CHFL,moderna,NA,vaccine_type,8644780,135285,NA,NA,1.56,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-05,CHFL,moderna,NA,vaccine_type,8644780,144303,NA,NA,1.67,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-06,CHFL,moderna,NA,vaccine_type,8644780,146110,NA,NA,1.69,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-07,CHFL,moderna,NA,vaccine_type,8644780,147118,NA,NA,1.7,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-08,CHFL,moderna,NA,vaccine_type,8644780,154648,NA,NA,1.79,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-09,CHFL,moderna,NA,vaccine_type,8644780,164565,NA,NA,1.9,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-10,CHFL,moderna,NA,vaccine_type,8644780,174197,NA,NA,2.02,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-11,CHFL,moderna,NA,vaccine_type,8644780,184081,NA,NA,2.13,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-12,CHFL,moderna,NA,vaccine_type,8644780,192440,NA,NA,2.23,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-13,CHFL,moderna,NA,vaccine_type,8644780,194183,NA,NA,2.25,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-14,CHFL,moderna,NA,vaccine_type,8644780,194718,NA,NA,2.25,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-15,CHFL,moderna,NA,vaccine_type,8644780,201962,NA,NA,2.34,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-16,CHFL,moderna,NA,vaccine_type,8644780,210305,NA,NA,2.43,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-17,CHFL,moderna,NA,vaccine_type,8644780,218105,NA,NA,2.52,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-18,CHFL,moderna,NA,vaccine_type,8644780,225721,NA,NA,2.61,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-19,CHFL,moderna,NA,vaccine_type,8644780,231501,NA,NA,2.68,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-20,CHFL,moderna,NA,vaccine_type,8644780,232243,NA,NA,2.69,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-21,CHFL,moderna,NA,vaccine_type,8644780,232455,NA,NA,2.69,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-22,CHFL,moderna,NA,vaccine_type,8644780,238925,NA,NA,2.76,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-23,CHFL,moderna,NA,vaccine_type,8644780,245750,NA,NA,2.84,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-24,CHFL,moderna,NA,vaccine_type,8644780,253185,NA,NA,2.93,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-25,CHFL,moderna,NA,vaccine_type,8644780,260469,NA,NA,3.01,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-26,CHFL,moderna,NA,vaccine_type,8644780,265967,NA,NA,3.08,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-27,CHFL,moderna,NA,vaccine_type,8644780,266926,NA,NA,3.09,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-28,CHFL,moderna,NA,vaccine_type,8644780,267738,NA,NA,3.1,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-29,CHFL,moderna,NA,vaccine_type,8644780,272693,NA,NA,3.15,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-30,CHFL,moderna,NA,vaccine_type,8644780,277168,NA,NA,3.21,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-03-31,CHFL,moderna,NA,vaccine_type,8644780,284125,NA,NA,3.29,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-04-01,CHFL,moderna,NA,vaccine_type,8644780,291301,NA,NA,3.37,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-04-02,CHFL,moderna,NA,vaccine_type,8644780,292662,NA,NA,3.39,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-04-03,CHFL,moderna,NA,vaccine_type,8644780,293606,NA,NA,3.4,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-04-04,CHFL,moderna,NA,vaccine_type,8644780,294559,NA,NA,3.41,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-04-05,CHFL,moderna,NA,vaccine_type,8644780,294836,NA,NA,3.41,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-04-06,CHFL,moderna,NA,vaccine_type,8644780,301068,NA,NA,3.48,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-04-07,CHFL,moderna,NA,vaccine_type,8644780,307672,NA,NA,3.56,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-04-08,CHFL,moderna,NA,vaccine_type,8644780,314210,NA,NA,3.63,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-04-09,CHFL,moderna,NA,vaccine_type,8644780,319916,NA,NA,3.7,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-04-10,CHFL,moderna,NA,vaccine_type,8644780,322093,NA,NA,3.73,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-04-11,CHFL,moderna,NA,vaccine_type,8644780,323635,NA,NA,3.74,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-04-12,CHFL,moderna,NA,vaccine_type,8644780,326941,NA,NA,3.78,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-04-13,CHFL,moderna,NA,vaccine_type,8644780,331316,NA,NA,3.83,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-04-14,CHFL,moderna,NA,vaccine_type,8644780,336803,NA,NA,3.9,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-04-15,CHFL,moderna,NA,vaccine_type,8644780,341516,NA,NA,3.95,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-04-16,CHFL,moderna,NA,vaccine_type,8644780,346014,NA,NA,4,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-04-17,CHFL,moderna,NA,vaccine_type,8644780,347789,NA,NA,4.02,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
2021-04-18,CHFL,moderna,NA,vaccine_type,8644780,348258,NA,NA,4.03,NA,COVID19FullyVaccPersons,2021-05-30_23-59-00,summary
