geoRegion,datum,entries,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
CH,202009,52,52,1,100,8606033,0.6,0.6,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202010,111,163,1,100,8606033,1.29,1.89,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-10,59,0.69,113.5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202011,349,512,1,100,8606033,4.06,5.95,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-11,238,2.77,214.4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202012,836,1348,1,100,8606033,9.71,15.66,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-12,487,5.65,139.5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202013,1161,2509,1,100,8606033,13.49,29.15,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-13,325,3.78,38.9,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202014,665,3174,1,100,8606033,7.73,36.88,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-14,-496,-5.76,-42.7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202015,363,3537,1,100,8606033,4.22,41.1,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-15,-302,-3.51,-45.4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202016,219,3756,1,100,8606033,2.54,43.64,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-16,-144,-1.68,-39.7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202017,106,3862,1,100,8606033,1.23,44.88,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-17,-113,-1.31,-51.6,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202018,64,3926,1,100,8606033,0.74,45.62,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-18,-42,-0.49,-39.6,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202019,31,3957,1,100,8606033,0.36,45.98,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-19,-33,-0.38,-51.6,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202020,25,3982,1,100,8606033,0.29,46.27,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-20,-6,-0.07,-19.4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202021,15,3997,1,100,8606033,0.17,46.44,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-21,-10,-0.12,-40,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202022,19,4016,1,100,8606033,0.22,46.66,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-22,4,0.05,26.7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202023,5,4021,1,100,8606033,0.06,46.72,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-23,-14,-0.16,-73.7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202024,7,4028,1,100,8606033,0.08,46.8,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-24,2,0.02,40,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202025,17,4045,1,100,8606033,0.2,47,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-25,10,0.12,142.9,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202026,17,4062,1,100,8606033,0.2,47.2,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-26,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202027,38,4100,1,100,8606033,0.44,47.64,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-27,21,0.24,123.5,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202028,55,4155,1,100,8606033,0.64,48.28,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-28,17,0.2,44.7,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202029,36,4191,1,100,8606033,0.42,48.7,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-29,-19,-0.22,-34.5,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202030,58,4249,1,100,8606033,0.67,49.37,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-30,22,0.25,61.1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202031,62,4311,1,100,8606033,0.72,50.09,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-31,4,0.05,6.9,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202032,49,4360,1,100,8606033,0.57,50.66,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-32,-13,-0.15,-21,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202033,53,4413,1,100,8606033,0.62,51.28,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-33,4,0.05,8.2,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202034,51,4464,1,100,8606033,0.59,51.87,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-34,-2,-0.03,-3.8,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202035,44,4508,1,100,8606033,0.51,52.38,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-35,-7,-0.08,-13.7,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202036,73,4581,1,100,8606033,0.85,53.23,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-36,29,0.34,65.9,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202037,100,4681,1,100,8606033,1.16,54.39,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-37,27,0.31,37,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH,202038,104,4785,1,100,8606033,1.21,55.6,COVID19Hosp,,2021-06-07_07-52-44,isoweek,2020-38,4,0.05,4,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
