type_variant,type,entries,geoRegion,datum,date_unit,version
,COVID19CT_Iso,2473,CHFL,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,4521,CHFL,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,2584,CHFL,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_reporting_cantons,23,CHFL,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,2460,CH,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,4519,CH,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Entry,2575,CH,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_reporting_cantons,23,CH,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,120,AG,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,19,AI,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,18,AR,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,222,BE,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,33,BL,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,13,FL,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,114,FR,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,362,GE,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,68,GR,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,42,JU,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,149,LU,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,41,NE,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,26,OW,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,162,SG,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,30,SH,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,66,SO,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,126,SZ,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,72,TG,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,50,TI,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,5,UR,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,283,VD,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,79,VS,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,29,ZG,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Iso,344,ZH,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,248,AG,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,19,AI,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,29,AR,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,1082,BE,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,47,BL,2021-06-22,day,2021-06-22_07-45-11
,COVID19CT_Qua,2,FL,2021-06-22,day,2021-06-22_07-45-11
