"";"geoRegion";"date";"median_R_mean";"median_R_highHPD";"median_R_lowHPD";"timeframe_14d";"timeframe_28d";"timeframe_phase2";"timeframe_phase2b";"timeframe_all";"type";"version";"median_R_mean_mean7d"
"1";"AG";2020-02-09;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"2";"AG";2020-02-10;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"3";"AG";2020-02-11;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"4";"AG";2020-02-12;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"5";"AG";2020-02-13;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"6";"AG";2020-02-14;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"7";"AG";2020-02-15;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"8";"AG";2020-02-16;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"9";"AG";2020-02-17;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"10";"AG";2020-02-18;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"11";"AG";2020-02-19;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"12";"AG";2020-02-20;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"13";"AG";2020-02-21;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"14";"AG";2020-02-22;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"15";"AG";2020-02-23;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"16";"AG";2020-02-24;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"17";"AG";2020-02-25;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"18";"AG";2020-02-26;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"19";"AG";2020-02-27;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"20";"AG";2020-02-28;2,08;3,75;0,89;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"21";"AG";2020-02-29;2,33;3,96;1,13;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"22";"AG";2020-03-01;2,54;4,09;1,36;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"23";"AG";2020-03-02;2,57;3,98;1,47;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"24";"AG";2020-03-03;2,62;3,87;1,6;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"25";"AG";2020-03-04;2,65;3,78;1,73;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";NA
"26";"AG";2020-03-05;2,65;3,65;1,82;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";2,49
"27";"AG";2020-03-06;2,6;3,47;1,85;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";2,57
"28";"AG";2020-03-07;2,49;3,25;1,83;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";2,59
"29";"AG";2020-03-08;2,34;2,99;1,76;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";2,56
"30";"AG";2020-03-09;2,15;2,71;1,65;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";2,5
"31";"AG";2020-03-10;1,96;2,44;1,53;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";2,41
"32";"AG";2020-03-11;1,81;2,24;1,43;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";2,29
"33";"AG";2020-03-12;1,7;2,09;1,36;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";2,15
"34";"AG";2020-03-13;1,63;1,97;1,31;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";2,01
"35";"AG";2020-03-14;1,56;1,88;1,27;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";1,88
"36";"AG";2020-03-15;1,49;1,78;1,22;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";1,76
"37";"AG";2020-03-16;1,41;1,69;1,16;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";1,65
"38";"AG";2020-03-17;1,34;1,59;1,1;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";1,56
"39";"AG";2020-03-18;1,27;1,51;1,05;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";1,49
"40";"AG";2020-03-19;1,21;1,43;1;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";1,42
"41";"AG";2020-03-20;1,16;1,37;0,96;FALSE;FALSE;FALSE;FALSE;TRUE;"COVID19Re";"2021-03-04_07-48-51";1,35
