"sex","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_phase3","timeframe_28d","timeframe_14d","pos_anteil"
"male","CH",202009,NA,NA,NA,NA,4268863,NA,NA,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"male","CH",202010,NA,NA,NA,NA,4268863,NA,NA,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"male","CH",202011,NA,NA,NA,NA,4268863,NA,NA,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"male","CH",202012,NA,NA,NA,NA,4268863,NA,NA,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"male","CH",202013,NA,NA,NA,NA,4268863,NA,NA,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"male","CH",202014,NA,NA,NA,NA,4268863,NA,NA,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"male","CH",202015,NA,NA,NA,NA,4268863,NA,NA,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"male","CH",202016,NA,NA,NA,NA,4268863,NA,NA,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"male","CH",202017,NA,NA,NA,NA,4268863,NA,NA,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"male","CH",202018,NA,NA,NA,NA,4268863,NA,NA,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"male","CH",202019,NA,NA,NA,NA,4268863,NA,NA,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"male","CH",202020,NA,NA,NA,NA,4268863,NA,NA,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"male","CH",202021,NA,NA,NA,NA,4268863,NA,NA,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"male","CH",202022,12856,12856,0.488,48.8,4268863,301.16,301.16,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.81
"male","CH",202023,12324,25180,0.48,48,4268863,288.7,589.85,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.67
"male","CH",202024,16713,41893,0.468,46.8,4268863,391.51,981.36,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.71
"male","CH",202025,21705,63598,0.45,45,4268863,508.45,1489.81,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.46
"male","CH",202026,28003,91601,0.489,48.9,4268863,655.98,2145.79,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.79
"male","CH",202027,37572,129173,0.538,53.8,4268863,880.14,3025.93,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1.09
"male","CH",202028,23599,152772,0.477,47.7,4268863,552.82,3578.75,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1.9
"male","CH",202029,20717,173489,0.487,48.7,4268863,485.3,4064.06,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2.21
"male","CH",202030,17287,190776,0.487,48.7,4268863,404.96,4469.01,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2.7
"male","CH",202031,19119,209895,0.512,51.2,4268863,447.87,4916.88,"COVID19Test","sex","2021-04-28_07-49-44","isoweek","2020-31",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.72
