nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
all,CH,202009,NA,NA,NA,NA,NA,NA,NA,NA,NA,8606033,NA,NA,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202010,NA,NA,NA,NA,NA,NA,NA,NA,NA,8606033,NA,NA,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-10,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202011,NA,NA,NA,NA,NA,NA,NA,NA,NA,8606033,NA,NA,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-11,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202012,NA,NA,NA,NA,NA,NA,NA,NA,NA,8606033,NA,NA,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-12,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202013,NA,NA,NA,NA,NA,NA,NA,NA,NA,8606033,NA,NA,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-13,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202014,NA,NA,NA,NA,NA,NA,NA,NA,NA,8606033,NA,NA,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-14,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202015,NA,NA,NA,NA,NA,NA,NA,NA,NA,8606033,NA,NA,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-15,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202016,NA,NA,NA,NA,NA,NA,NA,NA,NA,8606033,NA,NA,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-16,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202017,NA,NA,NA,NA,NA,NA,NA,NA,NA,8606033,NA,NA,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-17,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202018,NA,NA,NA,NA,NA,NA,NA,NA,NA,8606033,NA,NA,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-18,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202019,NA,NA,NA,NA,NA,NA,NA,NA,NA,8606033,NA,NA,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-19,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202020,NA,NA,NA,NA,NA,NA,NA,NA,NA,8606033,NA,NA,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-20,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202021,NA,NA,NA,NA,NA,NA,NA,NA,NA,8606033,NA,NA,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-21,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202022,26341,206,26135,26341,0.8,NA,0.8,1,100,8606033,306.08,306.08,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-22,26341,306.08,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202023,25650,154,25496,51991,0.6,-0.20000000000000007,0.7,1,100,8606033,298.05,604.12,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-23,-691,-8.03,-2.6,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CH,202024,35717,221,35496,87708,0.6,0,0.7,1,100,8606033,415.02,1019.15,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-24,10067,116.97,39.2,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202025,48255,203,48052,135963,0.4,-0.19999999999999996,0.6,1,100,8606033,560.71,1579.86,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-25,12538,145.69,35.1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202026,57313,393,56920,193276,0.7,0.29999999999999993,0.6,1,100,8606033,665.96,2245.82,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-26,9058,105.25,18.8,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202027,69892,751,69141,263168,1.1,0.40000000000000013,0.7,1,100,8606033,812.13,3057.95,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-27,12579,146.17,21.9,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202028,49432,765,48667,312600,1.5,0.3999999999999999,0.9,1,100,8606033,574.39,3632.34,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-28,-20460,-237.74,-29.3,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202029,42569,841,41728,355169,2,0.5,1,1,100,8606033,494.64,4126.98,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-29,-6863,-79.75,-13.9,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202030,35528,921,34607,390697,2.6,0.6000000000000001,1.1,1,100,8606033,412.83,4539.8,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-30,-7041,-81.81,-16.5,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202031,37357,1311,36046,428054,3.5,0.8999999999999999,1.3,1,100,8606033,434.08,4973.88,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-31,1829,21.25,5.1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202032,38689,1267,37422,466743,3.3,-0.20000000000000018,1.5,1,100,8606033,449.56,5423.44,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-32,1332,15.48,3.6,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202033,41688,1691,39997,508431,4.1,0.7999999999999998,1.7,1,100,8606033,484.4,5907.84,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-33,2999,34.84,7.8,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202034,57493,2083,55410,565924,3.6,-0.49999999999999956,1.9,1,100,8606033,668.05,6575.9,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-34,15805,183.65,37.9,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202035,73380,2293,71087,639304,3.1,-0.5,2,1,100,8606033,852.66,7428.56,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-35,15887,184.61,27.6,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202036,87129,2702,84427,726433,3.1,0,2.2,1,100,8606033,1012.42,8440.97,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-36,13749,159.76,18.7,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202037,90523,3236,87287,816956,3.6,0.5,2.3,1,100,8606033,1051.86,9492.83,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-37,3394,39.44,3.9,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202038,84602,3204,81398,901558,3.8,0.19999999999999973,2.5,1,100,8606033,983.05,10475.88,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-38,-5921,-68.81,-6.5,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202039,67996,2507,65489,969554,3.7,-0.09999999999999964,2.6,1,100,8606033,790.1,11265.98,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-39,-16606,-192.95,-19.6,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CH,202040,67761,3620,64141,1037315,5.3,1.5999999999999996,2.7,1,100,8606033,787.37,12053.35,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-40,-235,-2.73,-0.3,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202041,89350,8939,80411,1126665,10,4.7,3.3,1,100,8606033,1038.23,13091.57,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-41,21589,250.86,31.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202042,126494,19427,107067,1253159,15.4,5.4,4.5,1,100,8606033,1469.83,14561.4,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-42,37144,431.6,41.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202043,177164,39988,137176,1430323,22.6,7.200000000000001,6.8,1,100,8606033,2058.6,16620,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-43,50670,588.77,40.1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH,202044,217279,57525,159754,1647602,26.5,3.8999999999999986,9.4,1,100,8606033,2524.73,19144.73,COVID19Test,,2021-06-08_07-46-56,isoweek,2020-44,40115,466.13,22.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
