date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,age,0,indication,685845,0,NA,NA,NA,NA,0,0,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202053,AG,age,2,indication,685845,2,NA,0.009,0.8999999999999999,0.8999999999999999,0,0,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202101,AG,age,1570,indication,685845,1572,NA,0.625,62.5,57.3,0.23,0.23,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202102,AG,age,1997,indication,685845,3569,NA,0.574,57.4,57.4,0.29,0.52,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202103,AG,age,3722,indication,685845,7291,NA,0.606,60.6,59,0.54,1.06,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202104,AG,age,3277,indication,685845,10568,NA,0.519,51.9,56.599999999999994,0.48,1.54,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202105,AG,age,4305,indication,685845,14873,NA,0.498,49.8,54.400000000000006,0.63,2.17,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202106,AG,age,3194,indication,685845,18067,NA,0.416,41.6,51.6,0.47,2.63,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202107,AG,age,5393,indication,685845,23460,NA,0.486,48.6,50.9,0.79,3.42,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202108,AG,age,7746,indication,685845,31206,NA,0.521,52.1,51.2,1.13,4.55,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202109,AG,age,6764,indication,685845,37970,NA,0.494,49.4,50.9,0.99,5.54,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202110,AG,age,5448,indication,685845,43418,NA,0.401,40.1,49.2,0.79,6.33,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202111,AG,age,3303,indication,685845,46721,NA,0.313,31.3,47.3,0.48,6.81,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202112,AG,age,6477,indication,685845,53198,NA,0.395,39.5,46.2,0.94,7.76,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202113,AG,age,4805,indication,685845,58003,NA,0.307,30.7,44.3,0.7,8.46,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202114,AG,age,6264,indication,685845,64267,NA,0.302,30.2,42.4,0.91,9.37,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202115,AG,age,3900,indication,685845,68167,NA,0.155,15.5,38.6,0.57,9.94,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202116,AG,age,3352,indication,685845,71519,NA,0.112,11.200000000000001,34.599999999999994,0.49,10.43,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202117,AG,age,2135,indication,685845,73654,NA,0.086,8.6,31.8,0.31,10.74,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202118,AG,age,4382,indication,685845,78036,NA,0.127,12.7,29.299999999999997,0.64,11.38,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202119,AG,age,3261,indication,685845,81297,NA,0.1,10,27.200000000000003,0.48,11.85,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202120,AG,age,2818,indication,685845,84115,NA,0.073,7.3,25,0.41,12.26,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202121,AG,age,1957,indication,685845,86072,NA,0.048,4.8,22.8,0.29,12.55,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202122,AG,age,3068,indication,685845,89140,NA,0.06,6,20.8,0.45,13,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202123,AG,age,2307,indication,685845,91447,NA,0.047,4.7,19.1,0.34,13.33,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202124,AG,age,1883,indication,685845,93330,NA,0.045,4.5,17.9,0.27,13.61,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202125,AG,age,1641,indication,685845,94971,NA,0.046,4.6,17.1,0.24,13.85,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202052,AG,chronic_disease,0,indication,685845,0,NA,NA,NA,NA,0,0,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202053,AG,chronic_disease,8,indication,685845,8,NA,0.035,3.5000000000000004,3.5000000000000004,0,0,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202101,AG,chronic_disease,480,indication,685845,488,NA,0.191,19.1,17.8,0.07,0.07,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202102,AG,chronic_disease,439,indication,685845,927,NA,0.126,12.6,14.899999999999999,0.06,0.14,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202103,AG,chronic_disease,944,indication,685845,1871,NA,0.154,15.4,15.1,0.14,0.27,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202104,AG,chronic_disease,1533,indication,685845,3404,NA,0.243,24.3,18.2,0.22,0.5,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202105,AG,chronic_disease,2167,indication,685845,5571,NA,0.251,25.1,20.4,0.32,0.81,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202106,AG,chronic_disease,1853,indication,685845,7424,NA,0.241,24.099999999999998,21.2,0.27,1.08,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202107,AG,chronic_disease,2845,indication,685845,10269,NA,0.257,25.7,22.3,0.41,1.5,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202108,AG,chronic_disease,4205,indication,685845,14474,NA,0.283,28.299999999999997,23.7,0.61,2.11,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202109,AG,chronic_disease,4158,indication,685845,18632,NA,0.303,30.3,25,0.61,2.72,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202110,AG,chronic_disease,4684,indication,685845,23316,NA,0.345,34.5,26.400000000000002,0.68,3.4,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202111,AG,chronic_disease,3446,indication,685845,26762,NA,0.327,32.7,27.1,0.5,3.9,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202112,AG,chronic_disease,5785,indication,685845,32547,NA,0.353,35.3,28.299999999999997,0.84,4.75,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202113,AG,chronic_disease,5373,indication,685845,37920,NA,0.343,34.300000000000004,28.999999999999996,0.78,5.53,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202114,AG,chronic_disease,7620,indication,685845,45540,NA,0.367,36.7,30,1.11,6.64,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202115,AG,chronic_disease,8268,indication,685845,53808,NA,0.329,32.9,30.4,1.21,7.85,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202116,AG,chronic_disease,12415,indication,685845,66223,NA,0.416,41.6,32,1.81,9.66,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202117,AG,chronic_disease,6445,indication,685845,72668,NA,0.259,25.900000000000002,31.4,0.94,10.6,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202118,AG,chronic_disease,9923,indication,685845,82591,NA,0.288,28.799999999999997,31,1.45,12.04,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202119,AG,chronic_disease,7846,indication,685845,90437,NA,0.241,24.099999999999998,30.3,1.14,13.19,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202120,AG,chronic_disease,10246,indication,685845,100683,NA,0.267,26.700000000000003,29.9,1.49,14.68,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202121,AG,chronic_disease,7514,indication,685845,108197,NA,0.185,18.5,28.599999999999998,1.1,15.78,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202122,AG,chronic_disease,7708,indication,685845,115905,NA,0.151,15.1,27,1.12,16.9,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202123,AG,chronic_disease,5624,indication,685845,121529,NA,0.114,11.4,25.4,0.82,17.72,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202124,AG,chronic_disease,4254,indication,685845,125783,NA,0.101,10.100000000000001,24.2,0.62,18.34,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202125,AG,chronic_disease,3085,indication,685845,128868,NA,0.087,8.7,23.200000000000003,0.45,18.79,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202052,AG,med_prof,0,indication,685845,0,NA,NA,NA,NA,0,0,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202053,AG,med_prof,218,indication,685845,218,NA,0.952,95.19999999999999,95.19999999999999,0.03,0.03,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202101,AG,med_prof,239,indication,685845,457,NA,0.095,9.5,16.7,0.03,0.07,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202102,AG,med_prof,695,indication,685845,1152,NA,0.2,20,18.5,0.1,0.17,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202103,AG,med_prof,775,indication,685845,1927,NA,0.126,12.6,15.6,0.11,0.28,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202104,AG,med_prof,1042,indication,685845,2969,NA,0.165,16.5,15.9,0.15,0.43,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
202105,AG,med_prof,1372,indication,685845,4341,NA,0.159,15.9,15.9,0.2,0.63,COVID19VaccDosesAdministered,2021-07-02_09-41-56,detailed
