date,geoRegion,location,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,vaccination_centre,0,location,685845,0,NA,NA,NA,NA,0,0,COVID19VaccDosesAdministered,2021-06-01_09-31-55,detailed
202053,AG,vaccination_centre,225,location,685845,225,NA,1,100,100,0.03,0.03,COVID19VaccDosesAdministered,2021-06-01_09-31-55,detailed
202101,AG,vaccination_centre,2268,location,685845,2493,NA,0.903,90.3,91.10000000000001,0.33,0.36,COVID19VaccDosesAdministered,2021-06-01_09-31-55,detailed
202102,AG,vaccination_centre,2679,location,685845,5172,NA,0.788,78.8,84.3,0.39,0.75,COVID19VaccDosesAdministered,2021-06-01_09-31-55,detailed
202103,AG,vaccination_centre,4664,location,685845,9836,NA,0.766,76.6,80.5,0.68,1.43,COVID19VaccDosesAdministered,2021-06-01_09-31-55,detailed
202104,AG,vaccination_centre,4161,location,685845,13997,NA,0.581,58.099999999999994,72.2,0.61,2.04,COVID19VaccDosesAdministered,2021-06-01_09-31-55,detailed
202105,AG,vaccination_centre,5203,location,685845,19200,NA,0.601,60.099999999999994,68.5,0.76,2.8,COVID19VaccDosesAdministered,2021-06-01_09-31-55,detailed
202106,AG,vaccination_centre,6221,location,685845,25421,NA,0.819,81.89999999999999,71.39999999999999,0.91,3.71,COVID19VaccDosesAdministered,2021-06-01_09-31-55,detailed
202107,AG,vaccination_centre,9675,location,685845,35096,NA,0.873,87.3,75.1,1.41,5.12,COVID19VaccDosesAdministered,2021-06-01_09-31-55,detailed
202108,AG,vaccination_centre,11747,location,685845,46843,NA,0.791,79.10000000000001,76.1,1.71,6.83,COVID19VaccDosesAdministered,2021-06-01_09-31-55,detailed
202109,AG,vaccination_centre,10722,location,685845,57565,NA,0.783,78.3,76.5,1.56,8.39,COVID19VaccDosesAdministered,2021-06-01_09-31-55,detailed
202110,AG,vaccination_centre,11984,location,685845,69549,NA,0.886,88.6,78.3,1.75,10.14,COVID19VaccDosesAdministered,2021-06-01_09-31-55,detailed
202111,AG,vaccination_centre,10285,location,685845,79834,NA,0.986,98.6,80.5,1.5,11.64,COVID19VaccDosesAdministered,2021-06-01_09-31-55,detailed
202112,AG,vaccination_centre,16150,location,685845,95984,NA,0.996,99.6,83.1,2.35,13.99,COVID19VaccDosesAdministered,2021-06-01_09-31-55,detailed
202113,AG,vaccination_centre,15436,location,685845,111420,NA,0.991,99.1,85,2.25,16.25,COVID19VaccDosesAdministered,2021-06-01_09-31-55,detailed
202114,AG,vaccination_centre,19488,location,685845,130908,NA,0.952,95.19999999999999,86.4,2.84,19.09,COVID19VaccDosesAdministered,2021-06-01_09-31-55,detailed
