date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202052,AG,male,0,sex,344733,0,0,0,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,NA,NA
202053,AG,male,78,sex,344733,78,0.02,0.02,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.344,34.4
202101,AG,male,1189,sex,344733,1267,0.34,0.37,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.473,47.3
202102,AG,male,1540,sex,344733,2807,0.45,0.81,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.443,44.3
202103,AG,male,2798,sex,344733,5605,0.81,1.63,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.456,45.6
202104,AG,male,2629,sex,344733,8234,0.76,2.39,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.417,41.699999999999996
202105,AG,male,3523,sex,344733,11757,1.02,3.41,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.408,40.8
202106,AG,male,3266,sex,344733,15023,0.95,4.36,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.426,42.6
202107,AG,male,5022,sex,344733,20045,1.46,5.81,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.453,45.300000000000004
202108,AG,male,6560,sex,344733,26605,1.9,7.72,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.441,44.1
202109,AG,male,5983,sex,344733,32588,1.74,9.45,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.437,43.7
202110,AG,male,6059,sex,344733,38647,1.76,11.21,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.446,44.6
202111,AG,male,4798,sex,344733,43445,1.39,12.6,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.455,45.5
202112,AG,male,7741,sex,344733,51186,2.25,14.85,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.473,47.3
202113,AG,male,7470,sex,344733,58656,2.17,17.01,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.477,47.699999999999996
202114,AG,male,9711,sex,344733,68367,2.82,19.83,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.468,46.800000000000004
202115,AG,male,10928,sex,344733,79295,3.17,23,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.435,43.5
202116,AG,male,14554,sex,344733,93849,4.22,27.22,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.487,48.699999999999996
202117,AG,male,11884,sex,344733,105733,3.45,30.67,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.478,47.8
202118,AG,male,16780,sex,344733,122513,4.87,35.54,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.489,48.9
202119,AG,male,14615,sex,344733,137128,4.24,39.78,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.45,45
202120,AG,male,18350,sex,344733,155478,5.32,45.1,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.48,48
202121,AG,male,20387,sex,344733,175865,5.91,51.01,COVID19VaccDosesAdministered,2021-06-22_10-42-13,detailed,0.505,50.5
