"date","geoRegion","sex","entries","type_variant","pop","sumTotal","per100Persons","per100PersonsTotal","type","version","granularity","freq","prct"
202052,"AG","male",0,"sex",344733,0,0,0,"COVID19AtLeastOneDosePersons","2021-05-21_09-24-05","detailed",NA,NA
202053,"AG","male",77,"sex",344733,77,0.02,0.02,"COVID19AtLeastOneDosePersons","2021-05-21_09-24-05","detailed",0.342,34.2
202101,"AG","male",1187,"sex",344733,1264,0.34,0.37,"COVID19AtLeastOneDosePersons","2021-05-21_09-24-05","detailed",0.473,47.3
202102,"AG","male",1515,"sex",344733,2779,0.44,0.81,"COVID19AtLeastOneDosePersons","2021-05-21_09-24-05","detailed",0.446,44.6
202103,"AG","male",2732,"sex",344733,5511,0.79,1.6,"COVID19AtLeastOneDosePersons","2021-05-21_09-24-05","detailed",0.459,45.9
202104,"AG","male",2478,"sex",344733,7989,0.72,2.32,"COVID19AtLeastOneDosePersons","2021-05-21_09-24-05","detailed",0.4,40
202105,"AG","male",2394,"sex",344733,10383,0.69,3.01,"COVID19AtLeastOneDosePersons","2021-05-21_09-24-05","detailed",0.396,39.6
202106,"AG","male",2098,"sex",344733,12481,0.61,3.62,"COVID19AtLeastOneDosePersons","2021-05-21_09-24-05","detailed",0.4,40
202107,"AG","male",2574,"sex",344733,15055,0.75,4.37,"COVID19AtLeastOneDosePersons","2021-05-21_09-24-05","detailed",0.438,43.8
202108,"AG","male",3976,"sex",344733,19031,1.15,5.52,"COVID19AtLeastOneDosePersons","2021-05-21_09-24-05","detailed",0.471,47.1
202109,"AG","male",3621,"sex",344733,22652,1.05,6.57,"COVID19AtLeastOneDosePersons","2021-05-21_09-24-05","detailed",0.465,46.5
202110,"AG","male",3977,"sex",344733,26629,1.15,7.72,"COVID19AtLeastOneDosePersons","2021-05-21_09-24-05","detailed",0.471,47.1
202111,"AG","male",2320,"sex",344733,28949,0.67,8.4,"COVID19AtLeastOneDosePersons","2021-05-21_09-24-05","detailed",0.471,47.1
202112,"AG","male",3712,"sex",344733,32661,1.08,9.47,"COVID19AtLeastOneDosePersons","2021-05-21_09-24-05","detailed",0.481,48.1
202113,"AG","male",4474,"sex",344733,37135,1.3,10.77,"COVID19AtLeastOneDosePersons","2021-05-21_09-24-05","detailed",0.478,47.8
202114,"AG","male",5701,"sex",344733,42836,1.65,12.43,"COVID19AtLeastOneDosePersons","2021-05-21_09-24-05","detailed",0.469,46.9
202115,"AG","male",8030,"sex",344733,50866,2.33,14.76,"COVID19AtLeastOneDosePersons","2021-05-21_09-24-05","detailed",0.424,42.4
